Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-06-20T19:06:35.830+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:06:38.511+0000,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:06:48.586+0000,500,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,GET,getEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:06:56.252+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:07:21.618+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:08:49.394+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:09:19.390+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:09:55.754+0000,401,0,,1B4B6C55-D1CF-E711-810B-0A719F038A93,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-06-20T19:10:36.472+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:10:43.618+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,EB1ED20D-BD74-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
