Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-01-04T17:39:41.812+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,POST,createInstanceLinks,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:39:43.425+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,POST,createSurveyResponses,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:40:11.936+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,GET,getSurveyResponsesByInstanceLinkUUID,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
2018-01-04T17:40:12.154+0000,200,1,DF1B8B87-BC84-42BE-A73C-826743825C2C,5D4B2CE6-75F1-E711-810B-0A719F038A93,127.0.0.1,,POST,createMessages,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-01-04T14:23:00.396-0500,401,0,,1B45F3C2-5EF1-E711-810B-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-04T14:23:06.608-0500,200,0,,,,0:0:0:0:0:0:0:1,POST,authenticateAPI,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-04T14:23:09.667-0500,200,0,,,,0:0:0:0:0:0:0:1,POST,login,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-04T19:23:14.033+0000,200,1,3C824FA1-3054-4782-9F04-4FC5996C5D74,474E19B3-84F1-E711-810B-0A719F038A93,,0:0:0:0:0:0:0:1,GET,getSurveyResponsePivot,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",,,B8FAA490-199F-4DA3-AFEE-CB6FEBE9A96C,,,
2018-01-04T19:24:04.735+0000,200,0,,,127.0.0.1,,POST,login,,,,Apache-HttpClient/4.3.5 (java 1.5),,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,0.0.3,
